"id_currencyLanguage","id_currency","id_language","label"
1,1,1,"Lebanese pounds                                   "
2,1,2,"Livres Libanais                                   "
3,2,1,"Dollars                                           "
4,2,2,"Dollars                                           "
426,104,2,"Thailand Baht	                                    "
427,105,1,"Trinidad and Tobago Dollar	                       "
428,105,2,"Trinidad and Tobago Dollar	                       "
429,106,1,"Turkey Lira	                                      "
430,106,2,"Turkey Lira	                                      "
431,107,1,"Turkey Lira	                                      "
432,107,2,"Turkey Lira	                                      "
433,108,1,"Tuvalu Dollar	                                    "
434,108,2,"Tuvalu Dollar	                                    "
435,109,1,"Ukraine Hryvna	                                   "
436,109,2,"Ukraine Hryvna	                                   "
437,110,1,"United Kingdom Pound	                             "
438,110,2,"United Kingdom Pound	                             "
439,111,1,"Uruguay Peso	                                     "
440,111,2,"Uruguay Peso	                                     "
441,112,1,"Uzbekistan Som	                                   "
442,112,2,"Uzbekistan Som	                                   "
443,113,1,"Venezuela Bolivar Fuerte	                         "
444,113,2,"Venezuela Bolivar Fuerte	                         "
445,114,1,"Viet Nam Dong	                                    "
446,114,2,"Viet Nam Dong	                                    "
447,115,1,"Zimbabwe Dollar	                                  "
448,115,2,"Zimbabwe Dollar	                                  "
